Nombre del evento,Número de eventos,Total de usuarios,Número de eventos por usuario,Total de ingresos
LEVEL_COMPLETED_102,4105,4062,1.0123304562268804,0
START_LEVEL_153,4103,3237,1.2683153013910355,0
LEVEL_COMPLETED_103,4102,4058,1.0125894840780054,0
START_LEVEL_136,4098,3419,1.2007031936712569,0
TIME_LEVEL_1021,4096,4056,1.0116078043961472,0
TIME_LEVEL_1031,4092,4050,1.0121197130843433,0
LEVEL_COMPLETED_104,4086,4045,1.011887072808321,0
LEVEL_COMPLETED_105,4084,4038,1.013651030032266,0
TIME_LEVEL_1041,4075,4036,1.0114172251178952,0
TIME_LEVEL_1051,4074,4030,1.0131808007958218,0
LEVEL_COMPLETED_106,4064,4015,1.0147315855181023,0
START_LEVEL_134,4056,3439,1.1821626348003498,0
TIME_LEVEL_1061,4055,4008,1.014257128564282,0
START_LEVEL_135,4043,3431,1.1807827102803738,0
START_LEVEL_137,4033,3407,1.1861764705882354,0
LEVEL_COMPLETED_107,4020,3972,1.014127144298688,0
TIME_LEVEL_1071,4010,3964,1.0136501516683518,0
LEVEL_COMPLETED_108,4005,3958,1.0139240506329115,0
TIME_LEVEL_1081,3994,3949,1.0134483633595535,0
LEVEL_COMPLETED_109,3983,3940,1.0132281862121597,0
START_LEVEL_154,3978,3211,1.2404115996258185,0
TIME_LEVEL_1091,3973,3932,1.012745347947999,0
START_LEVEL_143,3949,3300,1.1988463873709776,0
LEVEL_COMPLETED_110,3934,3889,1.014178912090745,0
START_LEVEL_152,3934,3227,1.2202233250620347,0
TIME_LEVEL_1101,3926,3883,1.013684482313452,0
LEVEL_COMPLETED_111,3907,3862,1.0145416774863671,0
START_LEVEL_148,3907,3260,1.1995701565858152,0
TIME_LEVEL_1111,3900,3857,1.0140405616224648,0
START_LEVEL_159,3884,3149,1.2373367314431347,0
LEVEL_COMPLETED_112,3882,3842,1.0130480167014613,0
TIME_LEVEL_1121,3875,3837,1.0125424614580611,0
START_LEVEL_147,3867,3262,1.1861963190184048,0
LEVEL_COMPLETED_113,3861,3822,1.0131199160325375,0
TIME_LEVEL_1131,3855,3818,1.012608353033885,0
LEVEL_COMPLETED_114,3854,3815,1.0128777923784493,0
START_LEVEL_158,3849,3150,1.225796178343949,0
TIME_LEVEL_1141,3845,3809,1.0121084495919979,0
LEVEL_COMPLETED_115,3839,3806,1.0113277133825078,0
TIME_LEVEL_1151,3831,3800,1.0108179419525065,0
LEVEL_COMPLETED_116,3815,3780,1.0122048288670735,0
NOTIFICATION_OPENED_daily,3814,1966,1.9968586387434555,0
TIME_LEVEL_1161,3806,3774,1.0114270528833378,0
LEVEL_COMPLETED_117,3797,3759,1.0128034142437983,0
START_LEVEL_151,3794,3240,1.172072907012666,0
TIME_LEVEL_1171,3790,3754,1.0122863247863247,0
RATEAPP_5,3786,3781,1.0013224014810898,0
LEVEL_COMPLETED_118,3778,3741,1.012054647736405,0
TIME_LEVEL_1181,3770,3735,1.011537429568017,0
LEVEL_COMPLETED_119,3767,3728,1.0120902740462117,0
